MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
9945;121978;Wade Rolen;M;SBD;Single-ply;;Boys;71.12;75;;;;;136.08;;;;;61.23;;;;;151.95;349.27;16;258.61;258.61
9948;124756;Wade Simpson;M;SBD;Single-ply;;Boys;58.69;60;;;;;142.88;;;;;72.57;;;;;147.42;362.87;3;315.85;315.85
9973;124756;Wade Simpson;M;SBD;Single-ply;;Boys;59.87;60;;;;;;;;;;;;;;;;;DQ;;
7528;87309;Wade Skahl;M;SBD;Raw;38;M-SM;97.2;100;150;157.5;-167.5;;157.5;135;-147.5;-150;;135;205;-215;222.5;;222.5;515;1;317.13;317.13
9679;115470;Wade Smith;M;SBD;Single-ply;;Boys;107.05;110;;;;;158.76;;;;;102.06;;;;;158.76;419.57;10;249.07;249.07
9724;115470;Wade Smith;M;SBD;Single-ply;;Boys;105.51;110;;;;;154.22;;;;;99.79;;;;;158.76;412.77;3;246.24;246.24
9747;115470;Wade Smith;M;SBD;Single-ply;;Boys;105.23;110;;;;;165.56;;;;;113.4;;;;;170.1;449.06;4;268.13;268.13
9955;115470;Wade Smith;M;SBD;Single-ply;;Boys;103.01;110;;;;;183.7;;;;;108.86;;;;;165.56;458.13;11;275.65;275.65
10008;115470;Wade Smith;M;SBD;Single-ply;;Boys;106.23;110;;;;;190.51;;;;;111.13;;;;;142.88;444.52;7;264.56;264.56
10036;115470;Wade Smith;M;SBD;Single-ply;;Boys;105.96;110;;;;;201.85;;;;;113.4;;;;;183.7;498.95;4;297.21;297.21
10120;115470;Wade Smith;M;SBD;Single-ply;;Boys;105.23;110;;;;;197.31;;;;;117.93;;;;;183.7;498.95;11;297.92;297.92
10264;115470;Wade Smith;M;SBD;Single-ply;;Boys;103.37;110;;;;;197.31;;;;;120.2;;;;;188.24;505.76;7;303.92;303.92
10491;134830;Wade Sparks;M;SBD;Raw;;R-M2b;81.4;83;;;;;157.5;;;;;97.5;;;;;187.5;442.5;1;298.85;298.85
10650;134830;Wade Sparks;M;SBD;Raw;;R-M2a;81.4;82.5;;;;;155;;;;;95;;;;;185;435;;293.79;293.79
12617;185717;Wade Stevens;M;SBD;Raw;31;Open;108.7;110;;;;;202.5;;;;;147.5;;;;;217.5;567.5;4;335.21;335.21
629;19539;Wade Storey;M;B;Single-ply;;Junior;93.6;100;;;;;;;;;;85.0;;;;;;85.0;2;53.23;53.23
8098;102850;Wade Turner;M;B;Raw;;Pre-Teen;98.43;100;;;;;;;;;;52.16;;;;;;52.16;1;31.95;31.95
10098;129065;Wade Walsh;M;SBD;Single-ply;;Boys;106.14;110;;;;;151.95;;;;;104.33;;;;;147.42;403.7;6;240.33;240.33
10177;129065;Wade Walsh;M;SBD;Single-ply;;Boys;106.14;110;;;;;147.42;;;;;102.06;;;;;151.95;401.43;7;238.98;238.98
10196;129065;Wade Walsh;M;SBD;Single-ply;;Boys;106.14;110;;;;;151.95;;;;;106.59;;;;;149.69;408.23;4;243.03;243.03
7810;96849;Wade Wolfe;M;SBD;Wraps;;Amateur Junior;97.98;100;;;;;205;;;;;130;;;;;217.5;552.5;1;339.07;339.07
7852;96849;Wade Wolfe;M;SBD;Wraps;;Amateur Junior;99.25;100;;;;;217.5;;;;;140;;;;;179.75;537.25;1;327.96;327.96
7885;96849;Wade Wolfe;M;SBD;Wraps;;Amateur Junior;98.16;100;;;;;192.5;;;;;142.5;;;;;212.5;547.5;2;335.74;335.74
10029;126208;Wade Woods;M;SBD;Single-ply;;Boys;72.57;75;;;;;133.81;;;;;83.91;;;;;158.76;376.48;5;274.63;274.63
10166;126208;Wade Woods;M;SBD;Single-ply;;Boys;74.84;75;;;;;142.88;;;;;90.72;;;;;163.29;396.89;5;283.23;283.23
10225;126208;Wade Woods;M;SBD;Single-ply;;Boys;74.84;75;;;;;149.69;;;;;88.45;;;;;170.1;408.23;9;291.32;291.32
10248;126208;Wade Woods;M;SBD;Single-ply;;Boys;73.03;75;;;;;154.22;;;;;90.72;;;;;181.44;426.38;6;309.61;309.61
7991;101287;Wade Zeno;M;SBD;Wraps;;Open;120.66;125;;;;;292.5;;;;;207.5;;;;;300;800;3;459.36;459.36
8313;101287;Wade Zeno;M;SBD;Wraps;27;M-M-R;98.88;110;;;;;247.5;;;;;170;;;;;272.5;689.99;7;421.84;421.84
8362;101287;Wade Zeno;M;SBD;Wraps;28;M-M-R;108.32;110;245;260;272.5;;272.5;170;177.5;182.5;;182.5;275;287.5;295;;295;749.99;6;443.50;443.50
11785;101287;Wade Zeno;M;;Raw;25;Open Men;106.82;110;;;;;205.00;;;;;165.00;;;;;242.50;612.50;1;363.85;363.85
11843;101287;Wade Zeno;M;;Raw;26;Open Men;97.16;100;;;;;225.00;;;;;-157.50;;;;;260.00;;DQ;;
11843;101287;Wade Zeno;M;;Raw;26;Open Men;97.16;100;;;;;;;;;;;;;;;260.00;260.00;1;160.13;160.13
11959;101287;Wade Zeno;M;;Wraps;27;Open;99.40;100;;;;;242.50;;;;;172.50;;;;;282.50;697.50;1;425.52;425.52
11959;101287;Wade Zeno;M;;Raw;27;Open;99.40;100;;;;;;;;;;;;;;;282.50;282.50;1;172.34;172.34
12108;101287;Wade Zeno;M;;Wraps;28;Open;109.10;110;;;;;287.50;;;;;192.50;;;;;307.50;787.50;1;464.62;464.62
10535;136256;Wade Zhang;M;SBD;Raw;;R-JR;80.8;83;145;155;160;;160;85;90;95;;95;155;160;-165;;160;415;4;281.56;281.56
12671;187838;Wadhwa;M;SBD;Single-ply;;Teen 3;52;52;;;;;155;;;;;82.5;;;;;172.5;410;1;402.32;402.32
39;1594;Waeil Alfallah;M;SBD;Single-ply;;;122.6;125;;;;;360;;;;;230;;;;;300;890;2;509.23;509.23
3057;58213;Waeil El.Fallah;M;SBD;Single-ply;27.5;Open;121.8;125;300;330;360;;360;-210;210;-230;;210;300;-310;-310;;300;;DD;;
7807;96818;Wael Ammari;M;B;Raw;;Amateur Open;123.74;125;;;;;;;;;;188.24;;;;;;188.24;1;107.49;107.49
38;1548;Wael Falah;M;SBD;Single-ply;;;123.2;125;-310;-310;-310;;;-200;;;;;-200;;;;;;DQ;;
11678;167951;Wael Mismar;M;SBD;Raw;25;Open Men;79.83;82.5;;;;;185;;;;;120;;;;;187.5;492.5;3;336.68;336.68
275;13023;Wagaar Ahmad;M;SBD;Single-ply;;M-J;72.15;74;170;180;195;;195;100;105;-115;;105;190;-205;-205;;190;490;3;358.97;358.97
212;10051;Waghmare Sudesh;M;SBD;Single-ply;55.5;Masters 2;82.25;83;160;180;-190;;180;90;-100;-100;;90;170;185;-192.5;;185;455;2;305.36;305.36
28;1058;Wagner;M;SBD;Single-ply;;Open;73.8;75;-265;-275;-275;;;;;;;;;;;;;;DQ;;
2727;45328;Wagner Alves;M;B;Single-ply;33.5;Open;123.7;125;;;;;;235;-247.5;-247.5;;235;;;;;;235;1;134.20;134.20
2729;45497;Wagner Alves Almeida;M;B;Single-ply;34.5;Open;127.5;125+;;;;;;250;-260;-282.5;;250;;;;;;250;1;141.91;141.91
2725;45191;Wagner De Almeida;M;B;Single-ply;30.5;Abs;120.6;125;;;;;;-230;235;240;;240;;;;;;240;3;137.82;137.82
331;15829;Wahbi Moradi;M;SBD;Raw;;Juniors;73.25;74;-170;-175;175;;175;125;127.5;-132.5;;127.5;210;220;-225;;220;522.5;3;378.59;378.59
2860;15829;Wahbi Moradi;M;SBD;Wraps;19;T3;71.4;75;180;-200;-210;;180;115;122.5;-130;;122.5;180;200;-210;;200;502.5;1;370.98;385.82
2863;15829;Wahbi Moradi;M;SBD;Wraps;19;T;70.8;75;180;190;-200;;190;110;115;120;130;120;180;200;-220;;200;510;1;378.91;394.06
