MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
12034;97734;Gary Grissinger;M;;Raw;53;Open;99.50;100;;;;;215.00;;;;;165.00;;;;;315.00;695.00;3;423.82;501.81
12034;97734;Gary Grissinger;M;;Raw;53;Master 50-54;99.50;100;;;;;215.00;;;;;165.00;;;;;315.00;695.00;1;423.82;501.81
12070;97734;Gary Grissinger;M;;Raw;54;Master 50-54;107.50;110;;;;;247.50;;;;;172.50;;;;;325.00;745.00;1;441.64;531.73
12209;97734;Gary Grissinger;M;SBD;Raw;54;Master 50-54;99.75;100;;;;;240;;;;;167.5;;;;;320;727.5;1;443.19;533.60
12239;97734;Gary Grissinger;M;SBD;Raw;54;M 50-54;98.5;100;;;;;227.5;;;;;167.5;;;;;287.5;682.5;1;417.93;503.18
12404;97734;Gary Grissinger;M;SBD;Raw;55;Master 55-59;109.7;110;;;;;242.5;;;;;167.5;;;;;300;710;1;418.18;512.27
10860;145618;Gary Grooms;M;SBD;Raw;36.5;R-O;91.7;93;177.5;192.5;200;;200;-132.5;-142.5;-142.5;;;195;215;-225;;215;;DQ;;
86;2959;Gary Grosso;M;SBD;Single-ply;;Open;110;110;;;;;347;;;;;208.65;;;;;290.3;845.95;1;497.84;497.84
12658;186828;Gary Gulseth;M;B;Single-ply;;Master 40-46 Men;125;125;;;;;;;;;;272.47;;;;;;272.47;4;155.27;155.27
12662;186828;Gary Gulseth;M;B;Single-ply;;Masters 40-46;125;125;;;;;;;;;;240;;;;;;240;2;136.76;136.76
12663;186828;Gary Gulseth;M;B;Single-ply;;Master 40-46;110;110;;;;;;;;;;227.5;;;;;;227.5;1;133.88;133.88
12664;186828;Gary Gulseth;M;B;Single-ply;;Masters 40-46;100;100;;;;;;;;;;227.5;;;;;;227.5;2;138.45;138.45
6688;78587;Gary Habberfield;M;B;Single-ply;;Masters 2;127.35;120+;;;;;;-180;-180;-180;;;;;;;;;DQ;;
3068;58674;Gary Haberfield;M;B;Single-ply;49.5;Masters 2;124.45;125;;;;;;170;-180;185;;185.0;;;;;;185;3;105.52;105.52
6590;58674;Gary Haberfield;M;B;Single-ply;;Masters 1;124.7;125;;;;;;155;167.5;-175;;167.5;;;;;;167.5;1;95.50;95.50
6591;58674;Gary Haberfield;M;B;Single-ply;;Masters 1;124.5;125;;;;;;150;160;-165;;160;;;;;;160;1;91.25;91.25
6594;58674;Gary Haberfield;M;SBD;Single-ply;;Masters 1;124;125;-180;180;-190;;180;140;150;-162.5;;150;180;195;205;;205;535;1;305.37;305.37
6596;58674;Gary Haberfield;M;SBD;Single-ply;;Masters 1;125;125;;;;;210;;;;;155;;;;;212.5;577.5;2;329.09;329.09
6602;58674;Gary Haberfield;M;B;Single-ply;;Masters 1;124.85;125;;;;;;160;170;-175;;170;;;;;;170;2;96.90;96.90
6603;58674;Gary Haberfield;M;SBD;Single-ply;;Masters 1;125;125;200;215;222.5;;222.5;160;-170;-170;;160;200;220;225;;225;607.5;1;346.18;346.18
6604;58674;Gary Haberfield;M;SBD;Single-ply;;Masters 1;124.3;125;200;220;230;;230;165;175;180;;180;210;225;-235;;225;635;3;362.27;362.27
6659;58674;Gary Haberfield;M;B;Raw;;Masters 2;125.85;120+;;;;;;180;185;-190;;185;;;;;;185;1;105.28;105.28
