MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
12657;186651;Quang Thắng Nguyễn;M;SBD;Wraps;;Open;74.2;75;152.5;-162.5;167.5;;167.5;97.5;102.5;;;102.5;187.5;200;-210;;200;470;12;337.43;337.43
7477;85735;Quanxi Yang;M;B;Raw;27.5;Open;59.55;60;;;;;;180;-185;185;;185;;;;;;185;3;158.87;158.87
7478;85735;Quanxi Yang;M;B;Raw;29.5;;59.79;60;;;;;;185;-189;-189;;185;;;;;;185;3;158.29;158.29
7481;85735;Quanxi Yang;M;B;Raw;;;58.76;59;;;;;;176;-185;-191;;176;;;;;;176;3;153.03;153.03
11247;156653;Quartreal Smith;M;B;Raw;;R-O;92.9;93;;;;;;-190;-190;-190;;;;;;;;;DQ;;
10100;129119;Quavion Sheffield;M;SBD;Single-ply;;Boys;70.4;75;;;;;124.74;;;;;74.84;;;;;138.35;337.93;8;252.14;252.14
10037;126473;Quaylynn Burkes;M;SBD;Single-ply;;Boys;95.71;100;;;;;124.74;;;;;102.06;;;;;136.08;362.87;15;224.96;224.96
10165;126473;Quaylynn Burkes;M;SBD;Single-ply;;Boys;96.16;100;;;;;;;;;;;;;;;;;DQ;;
10209;126473;Quaylynn Burkes;M;SBD;Single-ply;;Boys;56;56;;;;;;;;;;;;;;;;;DQ;;
10273;126473;Quaylynn Burkes;M;SBD;Single-ply;;Boys;96.07;100;;;;;149.69;;;;;106.59;;;;;142.88;399.16;17;247.05;247.05
11038;150875;Qudsiah Khan;F;SBD;Raw;;R-O;79;84;95;102.5;105;;105;52.5;57.5;-62.5;;57.5;115;122.5;135;;135;297.5;12;274.15;274.15
11130;150875;Qudsiah Khan;F;SBD;Raw;;R-O;77.9;82.5;;;;;102.5;;;;;57.5;;;;;132.5;292.5;6;271.74;271.74
10055;127299;Que'Sean Gildon;M;SBD;Single-ply;;Boys;101.97;110;;;;;249.48;;;;;102.06;;;;;188.24;539.77;3;326.01;326.01
10079;127299;Que'Sean Gildon;M;SBD;Single-ply;;Boys;102.15;110;;;;;285.76;;;;;136.08;;;;;204.12;625.96;1;377.81;377.81
10145;127299;Que'Sean Gildon;M;SBD;Single-ply;;Boys;100.97;110;;;;;303.91;;;;;140.61;;;;;219.99;664.51;1;402.88;402.88
10247;127299;Que'Sean Gildon;M;SBD;Single-ply;;Boys;99.79;100;;;;;317.51;;;;;113.4;;;;;226.8;657.71;1;400.61;400.61
10337;127299;Que'Sean Gildon;M;SBD;Single-ply;;Boys;98.7;100;;;;;306.17;;;;;129.27;;;;;222.26;657.71;3;402.41;402.41
10342;127299;Que'Sean Gildon;M;SBD;Single-ply;;Boys;99.43;100;;;;;306.17;;;;;124.74;;;;;249.48;680.39;5;415.03;415.03
6727;78762;Queen Lawrence;F;SBD;Single-ply;;Open;59.7;63;55;62.5;-70;;62.5;65;70;-75;;70;90;100;110;;110;242.5;1;271.41;271.41
11520;164380;Queen Underwood;F;SBD;Single-ply;;Teen 16-17;67.5;67.5;;;;;130;;;;;67.5;;;;;162.5;360;1;367.42;367.42
12193;178032;Queene Resngit;F;SBD;Raw;20;Junior 20-23;49.4;52;;;;;65;;;;;32.5;;;;;102.5;200;1;259.28;267.06
12193;178032;Queene Resngit;F;SBD;Raw;20;Open;49.4;52;;;;;65;;;;;32.5;;;;;102.5;200;2;259.28;267.06
12449;178032;Queene Resngit;F;SBD;Raw;21;Junior 20-23;51.25;52;;;;;77.5;;;;;40;;;;;97.5;215;1;271.04;276.46
12449;178032;Queene Resngit;F;SBD;Raw;21;Open;51.25;52;;;;;77.5;;;;;40;;;;;97.5;215;1;271.04;276.46
6725;78757;Queenie Lawrence;F;B;Raw;33;Open;64.46;72;;;;;;55;60;65;;65;;;;;;65;1;68.62;68.62
6726;78757;Queenie Lawrence;F;B;Raw;;Open;64.4;72;;;;;;50;55;60;;60;;;;;;60;1;63.38;63.38
6796;78757;Queenie Lawrence;F;B;Raw;;Open;65.6;72;;;;;;55;60;62.5;;62.5;;;;;;62.5;1;65.13;65.13
6798;78757;Queenie Lawrence;F;B;Raw;;Open;62.9;63;;;;;;60;62.5;65;;65;;;;;;65;1;69.89;69.89
7944;100479;Quek Gui Zhang;M;SBD;Wraps;;J(20-23);73.3;75;-220;-220;-220;;;135;142.5;-147.5;;142.5;230;-240;;;230;372.5;10;269.77;269.77
9718;118171;Quenden Darby;M;SBD;Single-ply;;Boys;96.89;100;;;;;190.51;;;;;90.72;;;;;188.24;469.47;8;289.49;289.49
9768;118171;Quenden Darby;M;SBD;Single-ply;;Boys;96.07;100;;;;;206.38;;;;;97.52;;;;;192.78;496.68;4;307.41;307.41
9908;118171;Quenden Darby;M;SBD;Single-ply;;Boys;95.98;100;;;;;208.65;;;;;106.59;;;;;199.58;514.83;1;318.77;318.77
9937;118171;Quenden Darby;M;SBD;Single-ply;;Boys;97.61;100;;;;;213.19;;;;;106.59;;;;;201.85;521.63;8;320.64;320.64
2219;32518;Quendrim Halili;M;B;Raw;24.5;Open;63.55;66;;;;;;60;65;70;;70;;;;;;70;1;56.74;56.74
2221;32518;Quendrim Halili;M;B;Raw;24.5;Open;63.20;66;;;;;;60;65;72.5;;72.5;;;;;;72.5;2;59.04;59.04
2225;32518;Quendrim Halili;M;B;Raw;24.5;Open;63.56;66;;;;;;65;-70;75;;75;;;;;;75;1;60.78;60.78
10400;133234;Quennel Marshall;M;SBD;Wraps;31;MOR;145;140+;182.5;195;207.5;;207.5;165;182.5;190;;190;182.5;207.5;227.5;;227.5;625;1;347.47;347.47
11146;133234;Quennel Marshall;M;SBD;Raw;31.5;R-O;141.1;120+;205;217.5;227.5;;227.5;172.5;182.5;-195;;182.5;227.5;240;257.5;;257.5;667.5;3;372.57;372.57
10081;128443;Quentel Ward;M;SBD;Single-ply;;Boys;99.25;100;;;;;181.44;;;;;92.99;;;;;161.03;435.45;17;265.82;265.82
10673;140862;Quentell Price;M;SBD;Raw;18.5;R-HS;87.15;90;-165;165;-175;;165;90;100;-102.5;;100;165;177.5;192.5;;192.5;457.5;1;297.04;297.04
1285;25413;Quenten Chad;M;SBD;Raw;;Sub-Junior;69.7;74;;;;;137.5;;;;;92.5;;;;;152.5;382.5;1;287.59;287.59
10101;129158;Quentin Abadie;M;SBD;Single-ply;;Boys;124.74;125;;;;;163.29;;;;;115.67;;;;;192.78;471.74;3;268.93;268.93
10154;129158;Quentin Abadie;M;SBD;Single-ply;;Boys;119.88;125;;;;;183.7;;;;;111.13;;;;;201.85;496.68;1;285.62;285.62
10205;129158;Quentin Abadie;M;SBD;Single-ply;;Boys;120.56;125;;;;;183.7;;;;;108.86;;;;;204.12;496.68;3;285.25;285.25
10240;129158;Quentin Abadie;M;SBD;Single-ply;;Boys;125;125;;;;;;;;;;;;;;;;;DQ;;
10954;147846;Quentin Adams;M;B;Raw;50.5;R-M2;74.00;74;;;;;;85;97.5;-107.5;;97.5;;;;;;97.5;1;70.13;70.13
10956;147846;Quentin Adams;M;SBD;Raw;51.5;R-M2;72.20;74;-70;75;80;;80.0;92.5;97.5;100;;100.0;102.5;105;110;;110.0;290;1;212.34;212.34
10956;147846;Quentin Adams;M;SBD;Raw;51.5;R-O;72.20;74;-70;75;80;;80.0;92.5;97.5;100;;100.0;102.5;105;110;;110.0;290;4;212.34;212.34
9945;124709;Quentin Benedict;M;SBD;Single-ply;;Boys;71.3;75;;;;;172.37;;;;;90.72;;;;;172.37;435.45;7;321.82;321.82
9958;124709;Quentin Benedict;M;SBD;Single-ply;;Boys;71.85;75;;;;;176.9;;;;;88.45;;;;;181.44;446.79;1;328.32;328.32
9718;118167;Quentin Bowes;M;SBD;Single-ply;;Boys;93.71;100;;;;;201.85;;;;;106.59;;;;;226.8;535.24;3;335.03;335.03
9749;118167;Quentin Bowes;M;SBD;Single-ply;;Boys;94.8;100;;;;;213.19;;;;;111.13;;;;;226.8;551.11;5;343.13;343.13
9931;118167;Quentin Bowes;M;SBD;Single-ply;;Boys;97.11;100;;;;;219.99;;;;;129.27;;;;;242.67;591.94;2;364.65;364.65
9986;118167;Quentin Bowes;M;SBD;Single-ply;;Boys;94.71;100;;;;;222.26;;;;;122.47;;;;;238.14;582.87;6;363.06;363.06
10081;118167;Quentin Bowes;M;SBD;Single-ply;;Boys;97.98;100;;;;;226.8;;;;;140.61;;;;;226.8;594.21;1;364.67;364.67
10180;118167;Quentin Bowes;M;SBD;Single-ply;;Boys;98.16;100;;;;;208.65;;;;;133.81;;;;;213.19;555.65;4;340.74;340.74
11905;172188;Quentin Bradley;M;;Wraps;30;Open Men;88.90;90;;;;;185.00;;;;;160.00;;;;;195.00;540.00;6;346.92;346.92
11915;172188;Quentin Bradley;M;;Raw;30;Open;87.36;90;;;;;185;;;;;170;;;;;227.5;582.5;3;377.71;377.71
1262;25029;Quentin Chan;M;SBD;Raw;;Junior;72.6;74;;;;;202.5;;;;;110;;;;;210;522.5;1;381.04;381.04
1298;25029;Quentin Chan;M;SBD;Raw;;Junior;72.8;74;;;;;200.0;;;;;122.5;;;;;225.0;547.5;6;398.47;398.47
1308;25029;Quentin Chan;M;SBD;Raw;;Junior;73.3;74;;;;;202.5;;;;;127.5;;;;;210;540;6;391.07;391.07
1362;25029;Quentin Chan;M;SBD;Raw;;Junior;77;83;;;;;197.5;;;;;137.5;;;;;232.5;567.5;10;397.18;397.18
1391;25029;Quentin Chan;M;SBD;Raw;;Junior;73.8;74;;;;;205;;;;;142.5;;;;;235;582.5;6;419.81;419.81
1412;25029;Quentin Chan;M;SBD;Raw;;Open;73.9;74;;;;;212.5;;;;;142.5;;;;;245.0;600.0;1;432.00;432.00
2766;46668;Quentin Curnillat;M;SBD;Raw;17.5;Subjunior;100.68;105;190;-200;200;;200;100;105;-110;;105;190;200;205;;205;510;3;309.55;309.55
2764;46577;Quentin Descolat;M;SBD;Raw;23.5;Open;65.68;66;172.5;180;185;;185;100;-105;-105;;100;195;205;-210;;205;490;7;386.29;386.29
10058;127465;Quentin Freeman;M;SBD;Single-ply;;Boys;88;90;;;;;142.88;;;;;92.99;;;;;158.76;394.63;9;254.89;254.89
10281;127465;Quentin Freeman;M;SBD;Single-ply;;Boys;87.54;90;;;;;170.1;;;;;99.79;;;;;181.44;451.32;7;292.33;292.33
