MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
2164;31171;Peder Hindborg;M;SBD;Raw;26.5;Open;73.10;74;;;;;150.0;;;;;122.5;;;;;190.0;462.5;2;335.61;335.61
2174;31171;Peder Hindborg;M;SBD;Single-ply;24.5;Open;73.30;74;;;;;120.0;;;;;102.5;;;;;150.0;372.5;2;269.77;269.77
2178;31171;Peder Hindborg;M;B;Raw;28.5;Open;81.05;83;;;;;;122.5;127.5;-130;;127.5;;;;;;127.5;4;86.34;86.34
2200;31171;Peder Hindborg;M;B;Single-ply;29.5;Open;77.44;83;;;;;;127.5;135;-140;;135;;;;;;135;2;94.12;94.12
2208;31171;Peder Hindborg;M;B;Raw;30.5;Open;72.74;74;;;;;;127.5;-132.5;132.5;;132.5;;;;;;132.5;1;96.49;96.49
2226;31171;Peder Hindborg;M;SBD;Single-ply;25.5;Open;79.40;83;;;;;140.0;;;;;112.5;;;;;167.5;420.0;3;288.11;288.11
2227;31171;Peder Hindborg;M;B;Raw;29.5;Open;81.34;83;;;;;;125;130;132.5;;132.5;;;;;;132.5;4;89.53;89.53
2241;31171;Peder Hindborg;M;SBD;Single-ply;25.5;Open;81.90;83;;;;;180.0;;;;;132.5;;;;;182.5;495.0;1;333.07;333.07
2244;31171;Peder Hindborg;M;B;Single-ply;25.5;Open;81.85;83;;;;;;;;;;107.5;;;;;;107.5;2;72.36;72.36
2245;31171;Peder Hindborg;M;SBD;Raw;24.5;Open;72.50;74;;;;;125.0;;;;;107.5;;;;;150.0;382.5;3;279.22;279.22
2249;31171;Peder Hindborg;M;SBD;Raw;25.5;Open;81.00;83;;;;;145.0;;;;;115.0;;;;;177.5;437.5;4;296.37;296.37
8959;111617;Peder Huber;M;B;Single-ply;;Open;;125+;;;;;;;;;;180;;;;;;180;4;;
8448;108671;Peder Klingborg;M;B;Raw;;Open;91.43;93;;;;;;;;;;95.00;;;;;;95.0;10;60.17;60.17
5259;75973;Peder Landa;M;SB;Raw;;Teen 14-18;80.20;83;75;95;110;;110.0;-90;-100;-100;;;;;;;;;DQ;;
5891;77240;Peder Nicolay Nicolaysen;M;B;Raw;;Teen 14-18;79.15;83;;;;;;-95;-95;-95;;;;;;;;;DQ;;
5564;76623;Peder Notto Galteland;M;SBD;Raw;;Open;107.55;120;165;172.5;180;;180.0;112.5;120;125;;125.0;207.5;215;222.5;;222.5;527.5;4;312.65;312.65
5571;76635;Peder Røsnes Ellefsrud;M;SBD;Single-ply;;Teen 14-18;104.20;105;175;185;190;;190.0;95;102.5;107.5;;107.5;180;190;202.5;;202.5;500;1;299.59;299.59
5605;76635;Peder Røsnes Ellefsrud;M;SBD;Raw;;Teen 14-18;105.20;120;190;200;210;;210.0;97.5;105;110;;110.0;200;210;220;;220.0;540;1;322.46;322.46
5632;76635;Peder Røsnes Ellefsrud;M;SBD;Raw;;Teen 14-18;104.05;105;200;210;215;;215.0;100;107.5;-112.5;;107.5;205;215;-225;;215.0;537.5;1;322.22;322.22
5722;76635;Peder Røsnes Ellefsrud;M;SBD;Raw;;Junior 19-23;98.55;105;185;192.5;200;;200.0;95;102.5;-110;;102.5;195;205;210;;210.0;512.5;5;313.76;313.76
5326;76113;Peder Vik;M;SBD;Single-ply;;Junior 19-23;73;75;;;;;120;;;;;87.5;;;;;180;387.5;1;281.46;281.46
217;10503;Pedram Babakhani;M;B;Raw;24.5;Open;65.99;66;;;;;;147.5;160;-170;;160;;;;;;160;2;125.65;125.65
2712;44238;Pedro Alberto Gaona;M;B;Raw;;Silla De Ruedas;74.6;;;;;;;100;-110;-115;;100;;;;;;100;2;71.52;71.52
2752;46206;Pedro Almeida;M;B;Raw;52.5;M2;101.5;105;;;;;;165;170;177.5;;177.5;;;;;;177.5;1;107.40;107.40
2711;44210;Pedro Avila;M;SBD;Raw;;Open;100.1;105;-200;-200;-200;;;130;140;150;;150;210;215;-230;;215;365;3;222.05;222.05
2712;44323;Pedro Avila Lopez;M;SBD;Raw;;Open;97.7;105;210;220;-235;;220;145;150;-155;;150;230;245;-257.5;;245;615;2;377.88;377.88
10557;137286;Pedro Avila-Gonzalez;M;SBD;Raw;19.5;R-T3;119.60;120;197.5;207.5;212.5;;212.5;-180;-180;-180;;;242.5;260;272.5;;272.5;;DQ;;
2751;46187;Pedro Baldan;M;SBD;Single-ply;22.5;Junior;101.2;105;200;215;225;;225;130;140;147.5;;147.5;200;215;230;;230;602.5;3;364.96;364.96
9721;118419;Pedro Bernal;M;SBD;Single-ply;;Boys;123.01;125;;;;;260.82;;;;;158.76;;;;;238.14;657.71;1;376.05;376.05
9810;118419;Pedro Bernal;M;SBD;Single-ply;;Boys;120.93;125;;;;;294.84;;;;;142.88;;;;;238.14;675.85;1;387.87;387.87
9938;118419;Pedro Bernal;M;SBD;Single-ply;;Boys;121.29;125;;;;;260.82;;;;;158.76;;;;;249.48;669.05;1;383.71;383.71
9998;118419;Pedro Bernal;M;SBD;Single-ply;;Boys;119.2;125;;;;;306.17;;;;;158.76;;;;;249.48;714.41;2;411.38;411.38
10001;118419;Pedro Bernal;M;SBD;Single-ply;;Boys;120.84;125;;;;;317.51;;;;;170.1;;;;;263.08;750.7;4;430.90;430.90
10077;118419;Pedro Bernal;M;SBD;Single-ply;;Boys;114.58;125;;;;;283.5;;;;;147.42;;;;;260.82;691.73;1;402.32;402.32
10117;118419;Pedro Bernal;M;SBD;Single-ply;;Boys;113.67;125;;;;;283.5;;;;;149.69;;;;;276.69;709.87;1;413.78;413.78
