MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
10201;119362;Ethan Tackitt;M;SBD;Single-ply;;Boys;73.75;75;;;;;104.33;;;;;72.57;;;;;167.83;344.73;10;248.57;248.57
9750;120221;Ethan Tapia;M;SBD;Single-ply;;Boys;77.93;82.5;;;;;181.44;;;;;124.74;;;;;181.44;487.61;3;338.56;338.56
9892;120221;Ethan Tapia;M;SBD;Single-ply;;Boys;79.02;82.5;;;;;195.04;;;;;133.81;;;;;181.44;510.29;4;351.12;351.12
9940;120221;Ethan Tapia;M;SBD;Single-ply;;Boys;80.2;82.5;;;;;185.97;;;;;133.81;;;;;172.37;492.15;4;335.46;335.46
10038;120221;Ethan Tapia;M;SBD;Single-ply;;Boys;81.92;82.5;;;;;199.58;;;;;138.35;;;;;192.78;530.7;1;357.03;357.03
10162;120221;Ethan Tapia;M;SBD;Single-ply;;Boys;81.19;82.5;;;;;204.12;;;;;138.35;;;;;192.78;535.24;1;362.06;362.06
10206;120221;Ethan Tapia;M;SBD;Single-ply;;Boys;82.1;82.5;;;;;215.46;;;;;145.15;;;;;195.04;555.65;1;373.32;373.32
10252;120221;Ethan Tapia;M;SBD;Single-ply;;Boys;81.56;82.5;;;;;213.19;;;;;145.15;;;;;201.85;560.19;1;377.88;377.88
10335;120221;Ethan Tapia;M;SBD;Single-ply;;Boys;81.01;82.5;;;;;219.99;;;;;147.42;;;;;195.04;562.45;6;380.99;380.99
10872;145976;Ethan Tardif;M;SBD;Raw;16.5;R-T2;58.9;;67.5;80;87.5;;87.5;60;72.5;-80;;72.5;112.5;125;137.5;;137.5;297.5;2;258.09;258.09
10229;131024;Ethan Taylor;M;SBD;Single-ply;;Boys;78.47;82.5;;;;;163.29;;;;;92.99;;;;;165.56;421.84;15;291.57;291.57
10018;125820;Ethan Thom;M;SBD;Single-ply;;Boys;84.19;90;;;;;201.85;;;;;120.2;;;;;183.7;505.76;2;334.79;334.79
10065;125820;Ethan Thom;M;SBD;Single-ply;;Boys;84.5;90;;;;;206.38;;;;;124.74;;;;;183.7;514.83;4;340.08;340.08
10145;125820;Ethan Thom;M;SBD;Single-ply;;Boys;84.64;90;;;;;210.92;;;;;124.74;;;;;192.78;528.44;4;348.74;348.74
10295;125820;Ethan Thom;M;SBD;Single-ply;;Boys;82.64;90;;;;;204.12;;;;;124.74;;;;;183.7;;DQ;;
10336;125820;Ethan Thom;M;SBD;Single-ply;;Boys;84.46;90;;;;;;;;;;;;;;;;;DQ;;
10045;126909;Ethan Thomas;M;SBD;Single-ply;;Boys;;;;;;;;;;;;;;;;;;;DQ;;
10287;126909;Ethan Thomas;M;SBD;Single-ply;;Boys;76.84;82.5;;;;;142.88;;;;;83.91;;;;;151.95;378.75;8;265.45;265.45
11259;156841;Ethan Thompson;M;SBD;Single-ply;;T3;108.5;110;188.2;-204.1;204.1;;204.1;115.7;122.5;-124.7;;122.5;-240.4;-240.4;-240.4;;;326.6;5;193.03;193.03
11050;151726;Ethan Tomford;M;SBD;Raw;;R-T1;58.4;59;107.5;-110;115;;115;67.5;72.5;-77.5;;72.5;147.5;-152.5;-152.5;;147.5;335;2;292.95;292.95
11140;151726;Ethan Tomford;M;SBD;Raw;;R-O;58.4;59;82.5;97.5;102.5;;102.5;60;67.5;70;;70.0;125;135;140;;140.0;312.5;3;273.27;273.27
11140;151726;Ethan Tomford;M;SBD;Raw;;R-T1;58.4;59;82.5;97.5;102.5;;102.5;60;67.5;70;;70.0;125;135;140;;140.0;312.5;1;273.27;273.27
11146;151726;Ethan Tomford;M;SBD;Raw;14.5;R-O;64.2;66;115;122.5;-130;;122.5;72.5;-75;-75;;72.5;142.5;152.5;160;;160;355;6;285.26;285.26
11146;151726;Ethan Tomford;M;SBD;Raw;14.5;R-T1;64.2;66;115;122.5;-130;;122.5;72.5;-75;-75;;72.5;142.5;152.5;160;;160;355;1;285.26;285.26
10293;131648;Ethan Torres;M;SBD;Single-ply;;Boys;53.07;56;;;;;122.47;;;;;49.9;;;;;113.4;285.76;4;274.55;274.55
6799;79502;Ethan Tregidga;M;B;Raw;;Sub-Juniors;66.2;74;;;;;;62.5;65;67.5;;67.5;;;;;;67.5;4;52.87;52.87
6891;79502;Ethan Tregidga;M;B;Raw;;Sub-Juniors;88.3;93;;;;;;90;95;100;;100;;;;;;100;1;64.47;64.47
1332;26295;Ethan Tucker;M;SBD;Raw;;Sub-Junior;76.3;83;;;;;165;;;;;80;;;;;245;490;3;345.05;345.05
6740;78935;Ethan Turner;M;B;Raw;;Open;70.6;74;;;;;;-100;-100;-100;;;;;;;;;DQ;;
1162;23456;Ethan Tymburski;M;SBD;Raw;;Junior;82.3;83;;;;;145.0;;;;;110.0;;;;;210.0;465.0;4;311.96;311.96
1186;23456;Ethan Tymburski;M;SBD;Raw;;Junior;87.9;93;;;;;162.5;;;;;105.0;;;;;210.0;477.5;4;308.60;308.60
11616;166808;Ethan Valburg;M;B;Single-ply;16;Junior Men 13-18;118.21;125;;;;;;;;;;140;;;;;;140;1;80.78;91.28
11272;157005;Ethan Vanatta;M;SBD;Raw;26.5;R-O;82.40;;142.5;152.5;-160;;152.5;137.5;140;-142.5;;140.0;155;160;-167.5;;160.0;452.5;11;303.35;303.35
10069;127833;Ethan Vasquez;M;SBD;Single-ply;;Boys;59.78;60;;;;;70.31;;;;;58.97;;;;;102.06;231.33;7;197.96;197.96
10130;127833;Ethan Vasquez;M;SBD;Single-ply;;Boys;59.42;60;;;;;92.99;;;;;54.43;;;;;104.33;251.74;7;216.62;216.62
10178;127833;Ethan Vasquez;M;SBD;Single-ply;;Boys;;;;;;;;;;;;;;;;;;;DQ;;
9749;120071;Ethan Wagner;M;SBD;Single-ply;;Boys;63.96;67.5;;;;;154.22;;;;;92.99;;;;;167.83;415.04;10;334.56;334.56
9835;120071;Ethan Wagner;M;SBD;Single-ply;;Boys;63.59;67.5;;;;;167.83;;;;;95.25;;;;;179.17;442.25;4;358.27;358.27
9866;120071;Ethan Wagner;M;SBD;Single-ply;;Boys;63.23;67.5;;;;;172.37;;;;;95.25;;;;;181.44;449.06;1;365.57;365.57
9973;120071;Ethan Wagner;M;SBD;Single-ply;;Boys;58.88;60;;;;;158.76;;;;;88.45;;;;;167.83;415.04;2;360.18;360.18
9983;120071;Ethan Wagner;M;SBD;Single-ply;;Boys;58.33;60;;;;;163.29;;;;;90.72;;;;;163.29;417.3;3;365.33;365.33
7754;95259;Ethan Walsh;M;SBD;Wraps;;Amateur Junior 20-23;81;82.5;;;;;195;;;;;147.5;;;;;237.5;580;1;392.91;392.91
9737;119564;Ethan Walters;M;SBD;Single-ply;;Boys;;;;;;;;;;;;;;;;;;;DQ;;
11060;119564;Ethan Walters;M;SBD;Single-ply;17.5;Y;116.05;125;265;280;290;;290;150;-157.5;157.5;;157.5;222.5;232.5;242.5;;242.5;690;3;399.97;399.97
11423;119564;Ethan Walters;M;SBD;Single-ply;17.5;HS;114.4;125;265;-282.5;-282.5;;265;130;137.5;-142.5;;137.5;220;230;232.5;;232.5;635;4;369.49;369.49
8382;107748;Ethan Waltz;M;SBD;Wraps;23;Juniors;88;90;;;;;201.85;;;;;122.47;;;;;238.14;562.45;2;363.29;363.29
10747;107748;Ethan Waltz;M;SBD;Raw;;R-O;88.1;93;187.5;202.5;215;;215.0;110;120;125;;125.0;227.5;-245;245;;245.0;585;3;377.62;377.62
10749;107748;Ethan Waltz;M;SBD;Raw;25.5;R-O;90.3;;195;210;220;;220;115;122.5;-130;;122.5;227.5;242.5;-250;;242.5;585;9;372.83;372.83
12389;107748;Ethan Waltz;M;SBD;Raw;25;Open;87;90;;;;;210;;;;;122.5;;;;;247.5;580;2;376.93;376.93
10191;130639;Ethan Ward;M;SBD;Single-ply;;Boys;71.4;75;;;;;174.63;;;;;106.59;;;;;188.24;469.47;3;346.60;346.60
10243;130639;Ethan Ward;M;SBD;Single-ply;;Boys;72.12;75;;;;;181.44;;;;;108.86;;;;;201.85;492.15;2;360.65;360.65
10583;130639;Ethan Ward;M;SBD;Raw;14.5;R-T1;72.94;74;125;140;150;;150.0;75;87.5;95;;95.0;137.5;152.5;165;;165.0;410;1;297.98;297.98
10584;130639;Ethan Ward;M;SBD;Raw;15.5;R-T1;72.92;74;130;-140;152.5;;152.5;75;90;97.5;;97.5;152.5;170;185;;185.0;435;1;316.22;316.22
11839;170785;Ethan Wash;M;;Raw;22;Junior Men 20-23;98.07;100;;;;;225.00;;;;;142.50;;;;;237.50;605.00;2;371.15;374.86
11905;170785;Ethan Wash;M;;Wraps;23;Open Men;99.70;100;;;;;257.50;;;;;137.50;;;;;245.00;640.00;3;389.97;389.97
11949;170785;Ethan Wash;M;;Wraps;23;Open;98.34;100;;;;;272.5;;;;;147.5;;;;;252.5;672.5;1;412.08;412.08
12073;175739;Ethan Weaver;M;;Raw;14;Junior 13-15;49.90;52;;;;;;;;;;37.50;;;;;;37.50;1;38.45;47.30
12073;175739;Ethan Weaver;M;;Raw;14;Junior 13-15;49.90;52;;;;;;;;;;;;;;;72.50;72.50;1;74.34;91.44
7573;88598;Ethan Wedge;M;SBD;Wraps;;Pro 20-23;99.79;100;;;;;260.82;;;;;163.29;;;;;260.82;684.92;1;417.19;417.19
7573;88598;Ethan Wedge;M;SBD;Wraps;;Pro Open;99.79;100;;;;;260.82;;;;;163.29;;;;;260.82;684.92;1;417.19;417.19
10061;127580;Ethan Weems;M;SBD;Single-ply;;Boys;45.36;52;;;;;79.38;;;;;40.82;;;;;79.38;199.58;3;227.98;227.98
10156;127580;Ethan Weems;M;SBD;Single-ply;;Boys;46.77;52;;;;;88.45;;;;;43.09;;;;;86.18;217.72;2;240.00;240.00
10230;127580;Ethan Weems;M;SBD;Single-ply;;Boys;46.27;52;;;;;88.45;;;;;43.09;;;;;92.99;224.53;6;250.60;250.60
10292;127580;Ethan Weems;M;SBD;Single-ply;;Boys;47.31;52;;;;;;;;;;;;;;;;;DQ;;
9717;118047;Ethan Wickersham;M;SBD;Single-ply;;Boys;95.98;100;;;;;154.22;;;;;77.11;;;;;149.69;381.02;9;235.92;235.92
9811;118047;Ethan Wickersham;M;SBD;Single-ply;;Boys;96.16;100;;;;;163.29;;;;;;;;;;;;DQ;;
9882;118047;Ethan Wickersham;M;SBD;Single-ply;;Boys;96.07;100;;;;;174.63;;;;;86.18;;;;;163.29;424.11;2;262.49;262.49
9924;118047;Ethan Wickersham;M;SBD;Single-ply;;Boys;94.44;100;;;;;183.7;;;;;97.52;;;;;163.29;444.52;8;277.25;277.25
9786;121679;Ethan Williams;M;SBD;Single-ply;;Boys;60.15;67.5;;;;;104.33;;;;;;;;;;;;DQ;;
10032;121679;Ethan Williams;M;SBD;Single-ply;;Boys;65.68;67.5;;;;;108.86;;;;;52.16;;;;;92.99;254.01;8;200.25;200.25
10032;121679;Ethan Williams;M;SBD;Single-ply;;Boys;96.52;100;;;;;131.54;;;;;86.18;;;;;174.63;392.36;3;242.34;242.34
10084;121679;Ethan Williams;M;SBD;Single-ply;;Boys;97.34;100;;;;;136.08;;;;;90.72;;;;;174.63;401.43;10;247.04;247.04
10104;121679;Ethan Williams;M;SBD;Single-ply;;Boys;95.71;100;;;;;147.42;;;;;95.25;;;;;181.44;424.11;9;262.93;262.93
10138;121679;Ethan Williams;M;SBD;Single-ply;;Boys;68.13;75;;;;;111.13;;;;;61.23;;;;;104.33;276.69;8;211.76;211.76
10267;121679;Ethan Williams;M;SBD;Single-ply;;Boys;92.99;100;;;;;147.42;;;;;88.45;;;;;188.24;424.11;9;266.44;266.44
10871;121679;Ethan Williams;M;BD;Raw;15.5;Male;74;;;;;;;85;92.5;-97.5;;92.5;142.5;185;195;;195;287.5;3;206.80;206.80
10872;121679;Ethan Williams;M;SBD;Raw;16.5;R-T2;73.4;;82.5;102.5;125;;125;82.5;-102.5;-102.5;;82.5;142.5;192.5;200;;200;407.5;1;294.83;294.83
3790;69544;Ethan Wooten;M;BD;Raw;;youth;60.51;67.5;;;;;;;;;;30;;;;;72.5;102.5;1;86.75;86.75
3790;69544;Ethan Wooten;M;BD;Raw;;pure;60.51;67.5;;;;;;;;;;30;;;;;72.5;102.5;1;86.75;86.75
10;380;Ethan Young;M;SBD;Raw;27;Open;89.54;90;220;232.5;245;;245;135;142.5;150;;150;250;262.5;272.5;;272.5;667.5;1;427.25;427.25
